Draw Date,Ticket Date,Weekday,Lottery,Numbers Drawn,Bonus Number,Played,Group Picks,Bet Amounts,Matched Numbers,Correct vs Incorrect,Group Prizes,Winnings,FreePlay,BetAmount vs Winnings
25 Jan 2023,25 Jan 2023,Wednesday,Ontario 49,"[15, 20, 21, 30, 31, 33]",18,True,"[[1, 6, 7, 23, 37, 44], [7, 11, 15, 20, 34, 46]]","[1.0, 1.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [15, 20], 'Bonus_Match_2': []}}","['0/6', '2/6']","[0, 'Free Play']",0.0,1,-2.0
28 Jan 2023,28 Jan 2023,Saturday,Ontario 49,"[2, 3, 16, 17, 27, 36]",26,True,"[[3, 13, 22, 33, 39, 47]]",[0.0],"{'Line_1': {'Number_Matches_1': [3], 'Bonus_Match_1': []}}",['1/6'],[0],0.0,0,-0.0
04 Feb 2023,04 Feb 2023,Saturday,Ontario 49,"[4, 9, 14, 15, 18, 42]",30,True,"[[7, 25, 35, 36, 43, 48]]",[1.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}}",['0/6'],[0],0.0,0,-1.0
08 Feb 2023,08 Feb 2023,Wednesday,Ontario 49,"[11, 17, 20, 30, 46, 47]",15,True,"[[13, 17, 19, 30, 36, 48]]",[1.0],"{'Line_1': {'Number_Matches_1': [17, 30], 'Bonus_Match_1': []}}",['2/6'],['Free Play'],0.0,1,-1.0
11 Feb 2023,11 Feb 2023,Saturday,Ontario 49,"[11, 15, 26, 28, 40, 41]",34,True,"[[11, 17, 18, 22, 28, 41], [1, 15, 26, 30, 44, 45]]",[1.0],"{'Line_1': {'Number_Matches_1': [11, 28, 41], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [15, 26], 'Bonus_Match_2': []}}","['3/6', '2/6']","[10.0, 'Free Play']",10.0,1,-11.0
18 Feb 2023,18 Feb 2023,Saturday,Ontario 49,"[2, 10, 20, 28, 29, 34]",42,True,"[[4, 20, 30, 32, 39, 46]]",[1.0],"{'Line_1': {'Number_Matches_1': [20], 'Bonus_Match_1': []}}",['1/6'],[0],0.0,0,-1.0
22 Feb 2023,22 Feb 2023,Wednesday,Ontario 49,"[9, 11, 15, 21, 31, 44]",23,True,"[[7, 12, 14, 19, 30, 39]]",[1.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}}",['0/6'],[0],0.0,0,-1.0
25 Feb 2023,25 Feb 2023,Saturday,Ontario 49,"[14, 18, 33, 35, 38, 47]",40,True,"[[7, 11, 15, 20, 34, 46], [1, 6, 7, 23, 37, 44]]","[1.0, 1.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}}","['0/6', '0/6']","[0, 0]",0.0,0,-2.0
01 Mar 2023,01 Mar 2023,Wednesday,Ontario 49,"[1, 3, 12, 20, 21, 28]",22,True,"[[1, 9, 14, 24, 28, 43], [12, 17, 18, 32, 33, 37]]","[1.0, 1.0]","{'Line_1': {'Number_Matches_1': [1, 28], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [12], 'Bonus_Match_2': []}}","['2/6', '1/6']","['Free Play', 0]",0.0,1,-2.0
04 Mar 2023,04 Mar 2023,Saturday,Ontario 49,"[2, 12, 34, 35, 37, 42]",27,True,"[[1, 3, 21, 23, 42, 46], [7, 9, 12, 15, 35, 46]]","[1.0, 1.0]","{'Line_1': {'Number_Matches_1': [42], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [12, 35], 'Bonus_Match_2': []}}","['1/6', '2/6']","[0, 'Free Play']",0.0,1,-2.0
08 Mar 2023,08 Mar 2023,Wednesday,Ontario 49,"[3, 4, 9, 36, 40, 49]",18,True,"[[9, 17, 32, 36, 41, 48], [2, 15, 22, 27, 31, 46]]",[1.0],"{'Line_1': {'Number_Matches_1': [9, 36], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}}","['2/6', '0/6']","['Free Play', 0]",0.0,1,-1.0
11 Mar 2023,11 Mar 2023,Saturday,Ontario 49,"[9, 14, 21, 22, 36, 43]",3,True,"[[9, 10, 20, 33, 37, 42]]",[0.0],"{'Line_1': {'Number_Matches_1': [9], 'Bonus_Match_1': []}}",['1/6'],[0],0.0,0,-0.0
15 Mar 2023,15 Mar 2023,Wednesday,Ontario 49,"[6, 8, 11, 30, 38, 46]",20,True,"[[4, 18, 25, 26, 37, 40], [7, 25, 32, 33, 46, 49]]",[2.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [46], 'Bonus_Match_2': []}}","['0/6', '1/6']","[0, 0]",0.0,0,-2.0
18 Mar 2023,18 Mar 2023,Saturday,Ontario 49,"[3, 10, 11, 22, 39, 44]",4,True,"[[3, 6, 11, 14, 18, 28]]",[2.0],"{'Line_1': {'Number_Matches_1': [3, 11], 'Bonus_Match_1': []}}",['2/6'],['Free Play'],0.0,1,-2.0
22 Mar 2023,22 Mar 2023,Wednesday,Ontario 49,"[7, 22, 31, 38, 45, 47]",33,True,"[[6, 11, 18, 29, 34, 49], [4, 7, 8, 10, 24, 44]]",[2.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [7], 'Bonus_Match_2': []}}","['0/6', '1/6']","[0, 0]",0.0,0,-2.0
25 Mar 2023,25 Mar 2023,Saturday,Ontario 49,"[1, 2, 32, 40, 46, 48]",43,True,[[]],[2.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}}",['0/6'],[0],0.0,0,-2.0
08 Apr 2023,08 Apr 2023,Saturday,Ontario 49,"[6, 7, 13, 29, 41, 46]",11,True,"[[9, 15, 27, 34, 39, 43], [1, 9, 13, 18, 24, 30]]",[1.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [13], 'Bonus_Match_2': []}}","['0/6', '1/6']","[0, 0]",0,0,-1.0
