Draw Date,Weekday,Lottery,Numbers Drawn,Bonus Number,Played,Group Picks,Bet Amounts,Matched Numbers,Correct vs Incorrect,Group Prizes,Winnings,FreePlay,BetAmount vs Winnings
17-Jan-23,Tuesday,Lotto Max,"[1, 2, 5, 6, 16, 30, 45]",19,True,"[[1, 5, 11, 12, 27, 34, 37], [3, 14, 20, 22, 23, 36, 37], [7, 15, 21, 27, 32, 33, 41], [1, 2, 18, 27, 32, 42, 44], [13, 20, 25, 28, 29, 32, 44], [1, 8, 11, 13, 36, 37, 47]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [1, 5], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [], 'Bonus_Match_3': []}, 'Line_4': {'Number_Matches_4': [1, 2], 'Bonus_Match_4': []}, 'Line_5': {'Number_Matches_5': [], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [1], 'Bonus_Match_6': []}}","['2/7', '0/7', '0/7', '2/7', '0/7', '1/7']","[0, 0, 0, 0, 0, 0]",0,0,-10.0
20-Jan-23,Friday,Lotto Max,"[9, 16, 17, 19, 30, 38, 49]",45,True,"[[11, 16, 17, 37, 38, 40, 42], [1, 11, 17, 29, 32, 44, 49], [1, 2, 8, 13, 17, 38, 44], [19, 20, 23, 25, 27, 36, 44], [2, 9, 10, 17, 28, 37, 39], [8, 9, 18, 20, 21, 30, 32]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [16, 17, 38], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [17, 49], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [17, 38], 'Bonus_Match_3': []}, 'Line_4': {'Number_Matches_4': [19], 'Bonus_Match_4': []}, 'Line_5': {'Number_Matches_5': [9, 17], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [9, 30], 'Bonus_Match_6': []}}","['3/7', '2/7', '2/7', '1/7', '2/7', '2/7']","['Free Play', 0, 0, 0, 0, 0]",0,1,-10.0
24-Jan-23,Tuesday,Lotto Max,"[10, 20, 25, 29, 35, 42, 45]",3,True,"[[2, 20, 22, 24, 36, 39, 46], [3, 25, 26, 30, 28, 45, 50], [24, 26, 32, 38, 39, 41, 42], [3, 6, 13, 22, 38, 40, 49], [11, 12, 24, 27, 30, 36, 42], [4, 11, 23, 28, 32, 37, 43]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [20], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [25, 45], 'Bonus_Match_2': [3]}, 'Line_3': {'Number_Matches_3': [42], 'Bonus_Match_3': []}, 'Line_4': {'Number_Matches_4': [], 'Bonus_Match_4': [3]}, 'Line_5': {'Number_Matches_5': [42], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [], 'Bonus_Match_6': []}}","['1/7', '2/7+Bonus', '1/7', '0/7+Bonus', '1/7', '0/7']","[0, 0, 0, 0, 0, 0]",0,0,-10.0
27-Jan-23,Friday,Lotto Max,"[4, 5, 9, 13, 29, 30, 35]",20,True,"[[5, 6, 10, 14, 30, 33, 50], [5, 14, 15, 16, 17, 27, 49], [4, 5, 9, 18, 24, 33, 46], [4, 5, 11, 16, 18, 38, 46], [3, 8, 12, 14, 26, 31, 50], [1, 12, 13, 17, 23, 29, 50]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [5, 30], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [5], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [4, 5, 9], 'Bonus_Match_3': []}, 'Line_4': {'Number_Matches_4': [4, 5], 'Bonus_Match_4': []}, 'Line_5': {'Number_Matches_5': [], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [13, 29], 'Bonus_Match_6': []}}","['2/7', '1/7', '3/7', '2/7', '0/7', '2/7']","[0, 0, 'Free Play', 0, 0, 0]",0,1,-10.0
31-Jan-23,Tuesday,Lotto Max,"[2, 6, 16, 23, 40, 41, 48]",31,True,"[[4, 5, 6, 9, 12, 23, 24], [13, 14, 15, 19, 34, 48, 50], [10, 31, 34, 36, 37, 41, 46], [7, 20, 21, 26, 31, 35, 46], [3, 4, 14, 15, 25, 32, 45], [7, 15, 25, 31, 32, 45, 50]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [6, 23], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [48], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [41], 'Bonus_Match_3': [31]}, 'Line_4': {'Number_Matches_4': [], 'Bonus_Match_4': [31]}, 'Line_5': {'Number_Matches_5': [], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [], 'Bonus_Match_6': [31]}}","['2/7', '1/7', '1/7+Bonus', '0/7+Bonus', '0/7', '0/7+Bonus']","[0, 0, 0, 0, 0, 0]",0,0,-10.0
03 Feb 2023,Friday,Lotto Max,"[7, 10, 15, 17, 25, 39, 45]",43,True,"[[2, 5, 8, 13, 35, 45, 47], [13, 16, 22, 23, 37, 39, 45], [4, 20, 33, 36, 41, 43, 44]]",[5.0],"{'Line_1': {'Number_Matches_1': [45], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [39, 45], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [], 'Bonus_Match_3': [43]}}","['1/7', '2/7', '0/7+Bonus']","[0, 0, 0]",0,0,-5.0
07 Feb 2023,Tuesday,Lotto Max,"[1, 13, 26, 30, 37, 42, 50]",10,True,"[[6, 7, 8, 18, 19, 20, 39], [1, 2, 8, 12, 17, 33, 48], [8, 12, 15, 19, 37, 39, 49], [7, 10, 15, 19, 40, 43, 49], [1, 2, 4, 34, 35, 43, 49], [12, 14, 17, 28, 36, 38, 43]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [1], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [37], 'Bonus_Match_3': []}, 'Line_4': {'Number_Matches_4': [], 'Bonus_Match_4': [10]}, 'Line_5': {'Number_Matches_5': [1], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [], 'Bonus_Match_6': []}}","['0/7', '1/7', '1/7', '0/7+Bonus', '1/7', '0/7']","[0, 0, 0, 0, 0, 0]",0,0,-10.0
10 Feb 2023,Friday,Lotto Max,"[6, 16, 22, 23, 28, 29, 34]",8,True,"[[7, 21, 34, 39, 40, 45, 46], [4, 21, 28, 29, 35, 44, 46], [2, 5, 12, 35, 44, 45, 46]]",[5.0],"{'Line_1': {'Number_Matches_1': [34], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [28, 29], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [], 'Bonus_Match_3': []}}","['1/7', '2/7', '0/7']","[0, 0, 0]",0,0,-5.0
14 Feb 2023,Tuesday,Lotto Max,"[9, 15, 21, 28, 31, 36, 38]",12,True,"[[9, 20, 27, 30, 34, 36, 37], [4, 5, 15, 18, 27, 31, 48], [12, 14, 19, 23, 25, 43, 49], [2, 3, 12, 14, 29, 32, 49], [1, 2, 4, 7, 9, 11, 37], [11, 12, 20, 24, 25, 37, 49]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [9, 36], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [15, 31], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [], 'Bonus_Match_3': [12]}, 'Line_4': {'Number_Matches_4': [], 'Bonus_Match_4': [12]}, 'Line_5': {'Number_Matches_5': [9], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [], 'Bonus_Match_6': [12]}}","['2/7', '2/7', '0/7+Bonus', '0/7+Bonus', '1/7', '0/7+Bonus']","[0, 0, 0, 0, 0, 0]",0,0,-10.0
17 Feb 2023,Friday,Lotto Max,"[10, 12, 23, 26, 39, 41, 45]",42,True,"[[9, 20, 27, 30, 34, 36, 37], [4, 5, 15, 18, 27, 31, 48], [12, 14, 19, 23, 25, 43, 49], [2, 3, 12, 14, 29, 32, 49], [1, 2, 4, 7, 9, 11, 37], [11, 12, 20, 24, 25, 37, 49]]","[5.0, 5.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [12, 23], 'Bonus_Match_3': []}, 'Line_4': {'Number_Matches_4': [12], 'Bonus_Match_4': []}, 'Line_5': {'Number_Matches_5': [], 'Bonus_Match_5': []}, 'Line_6': {'Number_Matches_6': [12], 'Bonus_Match_6': []}}","['0/7', '0/7', '2/7', '1/7', '0/7', '1/7']","[0, 0, 0, 0, 0, 0]",0,0,-10.0
